iter	Passed	Remaining
0	179	17749
1	205	10053
2	235	7621
3	272	6540
4	308	5861
5	344	5392
6	390	5183
7	427	4911
8	467	4730
9	506	4561
10	547	4426
11	584	4287
12	621	4161
13	670	4119
14	730	4140
15	799	4194
16	849	4146
17	904	4118
18	959	4092
19	1003	4013
20	1048	3944
21	1093	3876
22	1135	3799
23	1177	3728
24	1224	3672
25	1267	3606
26	1315	3556
27	1357	3491
28	1398	3423
29	1436	3350
30	1474	3282
31	1515	3220
32	1561	3169
33	1602	3111
34	1644	3054
35	1689	3003
36	1730	2946
37	1772	2891
38	1811	2833
39	1855	2783
40	1892	2723
41	1934	2671
42	1970	2612
43	2012	2561
44	2051	2507
45	2087	2451
46	2127	2399
47	2165	2345
48	2204	2293
49	2236	2236
50	2271	2182
51	2313	2135
52	2348	2082
53	2381	2028
54	2414	1975
55	2446	1921
56	2479	1870
57	2512	1819
58	2545	1769
59	2578	1718
60	2610	1669
61	2642	1619
62	2675	1571
63	2710	1524
64	2743	1477
65	2775	1429
66	2808	1383
67	2841	1336
68	2873	1290
69	2904	1244
70	2935	1199
71	2971	1155
72	3011	1113
73	3051	1072
74	3089	1029
75	3123	986
76	3156	942
77	3188	899
78	3218	855
79	3248	812
80	3278	769
81	3307	726
82	3338	683
83	3369	641
84	3401	600
85	3433	558
86	3464	517
87	3495	476
88	3528	436
89	3559	395
90	3592	355
91	3626	315
92	3657	275
93	3690	235
94	3722	195
95	3760	156
96	3795	117
97	3826	78
98	3858	38
99	3889	0
